"OBJECTID","Num_Cases","xcoord","ycoord","Label","Address","City","Region","Postal","CountryCode"
"150","4","-0.13618589206892","51.513507940835098","Broad Street","34 Broadwick Street","London","England","W1F 8","GBR"
"151","2","-0.136003727916481","51.513974449774302","Broad Street","10 Livonia Street","London","England","W1F 8","GBR"
"152","4","-0.136111647427515","51.512816421836199","Broad Street","33 Lexington Street","London","England","W1F 0","GBR"
"153","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"154","1","-0.136043872857733","51.514023249409703","Broad Street","6 Portland Mews","London","England","W1F 8","GBR"
"155","1","-0.136081697176383","51.514572438752701","Broad Street","26 D'Arblay Street","London","England","W1F 8","GBR"
"156","1","-0.136024858971864","51.513541406151198","Broad Street","34 Broadwick Street","London","England","W1F 8","GBR"
"157","2","-0.136158357060518","51.5134558642333","Broad Street","33 Broadwick Street","London","England","W1F 0","GBR"
"158","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"159","5","-0.136003727916481","51.513974449774302","Broad Street","10 Livonia Street","London","England","W1F 8","GBR"
"160","1","-0.136111647427515","51.512816421836199","Broad Street","33 Lexington Street","London","England","W1F 0","GBR"
"161","1","-0.136116500145209","51.5129231940588","Broad Street","1 Silver Place","London","England","W1F 0","GBR"
"162","1","-0.136034123900581","51.514872724451699","Berners Street","70 Berwick Street","London","England","W1F 8","GBR"
"163","2","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"164","1","-0.13575953073195","51.513620782793701","Broad Street","30 Broadwick Street","London","England","W1F 8","GBR"
"165","1","-0.135977852593661","51.513002084780403","Broad Street","7 Silver Place","London","England","W1F 0","GBR"
"166","1","-0.135958204329815","51.512768562217502","Broad Street","36 Lexington Street","London","England","W1F 0","GBR"
"167","1","-0.135997647715925","51.514597979458202","Broad Street","27 D'Arblay Street","London","England","W1F 8","GBR"
"168","3","-0.135976169675731","51.513501052882503","Broad Street","16 Ingestre Place","London","England","W1F 0","GBR"
"169","3","-0.135983471354664","51.512691901115303","Broad Street","29 Lexington Street","London","England","W1F 0","GBR"
"170","4","-0.136003727916481","51.513974449774302","Broad Street","10 Livonia Street","London","England","W1F 8","GBR"
"171","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"172","2","-0.136120999107436","51.512894641149202","Broad Street","38 Lexington Street","London","England","W1F 0","GBR"
"173","1","-0.135890978739113","51.514061549048101","Broad Street","7 Livonia Street","London","England","W1F 8","GBR"
"174","4","-0.13575953073195","51.513620782793701","Broad Street","30 Broadwick Street","London","England","W1F 8","GBR"
"175","1","-0.135977852593661","51.513002084780403","Broad Street","7 Silver Place","London","England","W1F 0","GBR"
"176","2","-0.135926960086313","51.512636734758402","Broad Street","27 Lexington Street","London","England","W1F 0","GBR"
"177","4","-0.135863862475465","51.511936581757197","Bridle Street","35 Great Pulteney Street","London","England","W1F 9","GBR"
"178","2","-0.136120999107436","51.512894641149202","Broad Street","38 Lexington Street","London","England","W1F 0","GBR"
"179","1","-0.13569492759631","51.514132290229703","Broad Street","81 Berwick Street","London","England","W1F 8","GBR"
"180","5","-0.13575953073195","51.513620782793701","Broad Street","30 Broadwick Street","London","England","W1F 8","GBR"
"181","1","-0.135794426109469","51.513060771989501","Broad Street","6 Silver Place","London","England","W1F 0","GBR"
"182","2","-0.135655672658234","51.514083210015201","Broad Street","82 Berwick Street","London","England","W1F 8","GBR"
"183","1","-0.135826099235658","51.512537522801203","Bridle Street","23 Lexington Street","London","England","W1F 0","GBR"
"184","1","-0.135797329353955","51.513302769010998","Broad Street","16 Ingestre Place","London","England","W1F 0","GBR"
"185","2","-0.13557072292461","51.513070703563898","Broad Street","11 Ingestre Place","London","England","W1F 0","GBR"
"186","2","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"187","1","-0.135834749764499","51.515152869412098","Berners Street","25 Noel Street","London","England","W1F 8","GBR"
"188","1","-0.13575953073195","51.513620782793701","Broad Street","30 Broadwick Street","London","England","W1F 8","GBR"
"189","2","-0.13569492759631","51.514132290229703","Broad Street","81 Berwick Street","London","England","W1F 8","GBR"
"190","1","-0.135794426109469","51.513060771989501","Broad Street","6 Silver Place","London","England","W1F 0","GBR"
"191","3","-0.135797329353955","51.513302769010998","Broad Street","16 Ingestre Place","London","England","W1F 0","GBR"
"192","1","-0.13601869206478","51.512175773846899","Bridle Street","9 Great Pulteney Street","London","England","W1F 9","GBR"
"193","1","-0.135623232969645","51.513100650506701","Broad Street","2 Silver Place","London","England","W1F 0","GBR"
